company,quoted,country,industry,operating_revenue_2023,operating_revenue_2022,operating_revenue_2021,operating_revenue_2020,operating_revenue_2019,net_income_2023,net_income_2022,net_income_2021,net_income_2020,net_income_2019,cash_flow_2023,cash_flow_2022,cash_flow_2021,cash_flow_2020,cash_flow_2019,total_assets_2023,total_assets_2022,total_assets_2021,total_assets_2020,total_assets_2019,profit_margin_2023,profit_margin_2022,profit_margin_2021,profit_margin_2020,profit_margin_2019,solvency_ratio_2023,solvency_ratio_2022,solvency_ratio_2021,solvency_ratio_2020,solvency_ratio_2019,cogs_2023,cogs_2022,cogs_2021,cogs_2020,cogs_2019,ebitda_2023,ebitda_2022,ebitda_2021,ebitda_2020,ebitda_2019,cash_2023,cash_2022,cash_2021,cash_2020,cash_2019
"REN - REDES ENERGETICAS NACIONAIS, SGPS, S.A.",Yes,PT,Electricity,1081.05403016376,867.009925819039,942.235112986565,921.34910248816,873.756814815879,164.905854007721,119.214891402125,110.035517671108,134.058144264221,133.571119205832,444.694189573288,385.092545437217,384.056836059093,429.991546811461,398.273333135247,6389.07750733948,6881.26899204969,6329.55493987083,6440.62455475211,5959.97886086762,22.513,23.873,21.189,24.266,25.469,26.152,23.522,25.227,26.82,27.258,-1.11384049987793,-0.961006138920784,-1.37271157264709,-0.882284396290779,-1.01555346775055,575.040048070908,523.099853222966,523.392723684311,576.670407370329,547.925921246886,44.3602449083328,389.620260264873,451.634566004276,75.4653798156977,23.6408265213966
C.N.T.E.E. TRANSELECTRICA SA,Yes,RO,Electricity,1050.94467583121,1360.93363629471,865.76566917479,603.353725502551,573.019633174449,48.3664761304557,112.551892837539,0.29835037946701,35.9727666585445,20.8362283909768,124.091598534331,173.229621524364,65.2286820814013,105.291219930947,88.2756778467447,1913.24728279562,1769.28495231616,1665.22914401323,1308.79216580808,1118.80611705293,5.052,9.443,0.06,7.148,4.128,61.56,47.619,46.507,65.984,69.584,-762.881812675774,-1054.7531661521,-692.548335097134,-352.385508621991,-376.691239875287,129.364964869425,190.03797615692,73.0544308385253,115.860306621909,93.1311041632444,117.198275770247,71.9977995140702,60.5523144388199,143.683048490703,79.7103847579658
ZESPOL ELEKTROWNI PATNOW-ADAMOW-KONIN S.A.,Yes,PL,Electricity,1050.38200766668,962.666659333527,608.122173105955,608.764623726904,761.010571762621,189.354519970715,46.1872426844537,-78.0785721499175,-59.1722531631589,-117.223313227862,198.962144324183,57.3951578956246,-44.6965521370768,-17.4257659927011,-68.5351624261141,912.251124230027,1031.27245859787,815.704933644444,765.918463164568,821.087983888566,20.297,7.506,-21.002,-13.246,-15.221,53.25,26.754,15.829,32.983,37.729,-652.60130225271,-832.35292093572,-679.238922531456,-610.590134552121,-793.163978717893,346.376636850834,90.3905242147744,-103.420444305226,-35.5709870606661,-62.0572945825756,135.707503395528,332.307018693119,124.795321349993,132.466206814349,109.180287607729
PUBLICHNOE AKTSIONERNOE OBSCHESTVO FORVARD ENERGO,Yes,RU,Electricity,865.711568218892,1133.7735151013,1110.6397798647,1063.11987953391,1240.39517661942,147.534533067694,159.358662823802,250.951060450393,224.709999131888,260.671934318025,244.611059728243,282.289133179285,366.005573107639,331.672968414713,377.054468591101,2611.36253535622,3090.58433922004,2646.41044197889,2522.70603758627,2986.33301077144,21.336,17.694,28.357,26.643,26.65,50.041,47.827,47.201,57.892,58.221,-589.533828277982,-739.957288089192,-686.610582021458,-654.226050052078,-719.40639646099,276.177739940911,393.816227012112,424.029197843246,408.893829481828,520.988780158434,434.561714468041,328.318775752721,80.659283977259,41.5477767287465,58.4042685315814
PUBLIC JOINT STOCK COMPANY ROSSETI VOLGA,Yes,RU,Electricity,864.583818045363,954.706702380684,880.814982046906,820.515159425391,1024.84894312846,33.1391372027909,-6.70325214493088,13.2303080927376,-1.5866652148068,63.2048282602075,102.295546097567,80.2143376293518,90.0192874070807,69.841776796421,141.362351221712,799.83966787234,961.232424759271,872.64123402927,832.301037939247,948.615443385577,4.954,-0.738,2.049,-0.028,7.789,58.74,57.751,61.236,62.681,66.247,-145.43742572644,-186.716316860312,-167.191265830675,-156.290151373778,-187.199004376894,118.633462419285,97.8772769441651,98.5517656299835,78.4977221018504,164.694306930311,31.8358791942354,5.38342986583617,10.8461944978535,7.63115633961093,15.6828859693185
KUBAN POWER AND ELECTRIFICATION PUBLIC JOINT STOCK COMPANY,Yes,RU,Electricity,851.365907216284,938.227455969395,789.700188506988,682.656806865122,846.341707341794,76.0215292613339,81.0146788375359,25.095971541726,-16.7877940388303,48.7949915053546,152.40291592534,169.172275714469,102.334484181847,60.9438033204284,112.689142420702,1187.78327462683,1240.93222793495,1035.41434790858,1027.54839829667,1137.45856136686,12.221,11.441,5.046,-2.073,8.017,46.816,46.206,46.08,43.221,49.226,-469.112629961345,-504.881049654686,-450.140277201947,-414.546229555819,-482.58803381147,201.438373406773,237.387708123108,168.077774031083,103.761199189545,172.051174164288,146.247397562756,59.1536659689685,26.7100219103405,10.1866381217306,27.7209539672639
KOGENERACJA S.A.,Yes,PL,Electricity,808.351246263087,415.818084340453,358.447540257409,354.956890627742,291.833462847948,64.9801810376346,33.9711035408378,13.8556651526391,32.9754677340388,21.8334770124257,118.376879938692,79.0088164600432,59.6522172998786,76.0100029885769,59.6031777457893,1199.62979126051,802.135054796398,789.866263454988,759.58677957505,681.097733971626,10.113,10.355,5.001,11.826,9.605,45.272,53.583,54.458,59.048,60.351,-470.74690971002,-305.839663797766,-258.011332432955,-241.243078136444,-217.770744559407,132.414745929837,81.5377819435895,62.311330624938,88.0826932936907,66.5344779061675,8.7108009301126,1.1745195427537,5.40000004988909,3.7470731601119,122.490711640209
PUBLICHNOE AKTSIONERNOE OBSCHESTVO ROSSETI SEVERO-ZAPAD,Yes,RU,Electricity,744.858975858359,771.337149321669,694.903305547869,660.828031680498,802.189374106204,-6.14319791548979,-3.68497599089891,-11.8825964945862,-15.438121509159,17.4577791349292,90.0728598002475,97.9826972386669,87.9259833910037,62.7952105352283,98.4781241983976,621.455894853245,780.692258571381,671.157953027068,659.120934439209,796.757240849337,-0.778,-0.392,-1.976,-2.606,2.816,30.441,31.735,35.513,38.166,40.166,-229.299564871288,-186.82200728099,-175.957818507429,-162.724039835416,-191.906567819212,106.547025772179,119.719253025903,101.95398868665,100.643340317144,145.04128560036,41.1671739782933,54.1243146512872,11.6694258720651,11.4041562314238,3.74905716462433
PUBLIC JOINT-STOCK COMPANY TERRITORIAL GENERATION COMPANY NO.2,Yes,RU,Electricity,695.439421470197,1117.07340499816,697.747263051144,742.506502077592,796.233153388334,-172.572881533637,20.5280823613498,-13.0832409574427,-1.37327975167707,34.9446832141373,-136.657306491373,55.0924753006445,40.6523659164924,50.6843672400126,80.2102096194979,659.829259719149,1192.85438917441,1014.35630202883,987.794391425326,1075.52427851282,-25.641,2.723,-6.124,-0.357,5.797,33.513,46.354,41.338,38.143,26.571,-392.256844760736,-474.025887193467,-456.370789983609,-394.968993169991,-426.971456979278,177.368255986242,497.851286048726,74.2106337258378,110.482719451871,116.197866295818,10.4931519690445,9.7848373443326,9.57188186444342,3.78323329768237,6.16402065309137
PUBLICHNOE AKTSIONERNOE OBSCHESTVO EL5 ENERGO,No,RU,Electricity,684.249445083033,726.489735283539,662.871192409401,603.488688388813,1069.59852348819,51.6660792058902,-287.263677317559,34.9783419298604,49.2009700852297,14.4600744568538,88.9084381783092,180.764129222183,92.0656284691906,89.8318959148284,208.865442958547,746.781333545946,929.16125377357,1231.89006429353,1038.73361920199,1131.50594290222,9.555,-49.167,6.589,10.255,1.702,43.998,37.994,46.873,52.858,54.573,-435.134910725638,-482.094897284592,-464.487654813092,-373.268135558736,-646.474046808431,140.342302043364,137.529482192509,93.482902849257,128.433494044511,253.681915383868,10.1312430168111,65.1443110442683,137.540991497977,157.645617418941,180.027370496243
DNO ASA,Yes,NO,Crude_Oil,669.1,1379.8,1004.6,614.9,970.9,18.6,384.9,203.9,-285.9,73.5,189.9,972.9,490.0,351.5,547.3,2638.3,2803.0,2947.8,2708.7,3271.9,22.612,25.112,21.919,-69.231,-4.923,46.803,48.855,34.561,31.218,35.493,-218.4,-244.2,-237.1,-228.6,-229.6,431.4,1115.9,739.3,322.9,549.5,704.5,931.8,720.8,463.5,471.5
JP ELEKTROPRIVREDA BIH D.D. SARAJEVO,Yes,BA,Electricity,643.864208757877,695.183801874399,647.251939057589,662.233786121428,596.716031792641,-79.2618271708488,3.35277488183975,7.14289446568489,4.55177372950315,11.5126258070469,16.57531067729,88.550776547432,97.6616678981781,95.3800355549455,96.1982746948004,3248.29591624439,3862.11472103393,2066.108011868,2267.29255835956,2576.18057432675,-12.425,0.84,1.254,0.999,2.333,49.74,42.391,84.19,82.918,66.331,-440.394332259893,-224.700267674685,-313.28482465291,-324.249045748472,-331.31922880125,51.5078711509705,274.105161566257,105.516765617013,95.8647878406644,128.485000130713,27.8827708959579,90.4752955061197,100.030656424522,80.3753197265267,68.5339909464717
SERICA ENERGY PLC,Yes,GB,Crude_Oil,632.638,812.423,514.136,125.641,261.151,102.984,177.796,79.294,7.779,64.02,212.182,254.683,116.342,46.274,116.651,1238.063,862.382,686.671,447.463,478.338,48.309,60.089,26.278,9.987,41.65,52.926,47.395,39.688,44.662,41.395,-216.866,-141.268,-90.265,-90.065,-112.117,383.419,575.486,304.66,24.41,141.411,263.492,432.529,102.984,89.333,101.825
PUBLICHNOE AKTSIONERNOE OBSCHESTVO ROSSETI YUG,Yes,RU,Electricity,576.871831631392,641.698479247083,593.742195280086,574.540318868042,626.217042302335,33.6118744302392,4.8142882300308,-50.2479648130052,-16.4653470001845,-52.7182652667891,69.5460918141687,45.6829285178715,91.3048932243194,48.4642731526382,-5.75914677432925,554.881639824539,736.277842576318,508.008314438297,579.18341544753,599.084321749335,7.768,1.811,-10.3,-2.249,-10.102,5.201,-0.927,-2.242,6.639,10.92,-300.21717331583,-343.890455081095,-313.499806066912,-292.947676022021,-315.651041557271,97.0124826351134,82.5357877693018,89.0841875575408,85.5718752428871,97.4645018309206,44.9329938931651,23.6384004555848,17.3169196258886,14.3030797777232,9.23740495620668
PUBLICHNOE AKTSIONERNOE OBSCHESTVO TNS ENERGO HUZHIY NOVGOROD,Yes,RU,Electricity,564.451193100857,732.922548474725,682.486887387654,633.029823883697,774.656900366254,-35.8412063706657,-36.220920388273,6.38809240392968,-52.0217894623932,-9.6286613485422,-35.4192784440378,-35.2682848854559,7.45977382237278,-51.0529593588291,-8.48442095586285,190.317792913467,246.564448793613,262.217727506579,275.596543819078,306.468413465207,-7.939,-6.166,1.179,-10.235,-1.316,-60.855,-56.346,-36.309,-32.591,-14.972,-262.826344593636,-371.448059356563,-360.689121741281,-336.096940160584,-402.174918798136,2.85351589445863,25.1805650119167,20.0541908657234,9.93157454130985,12.8230845909156,2.06925532601401,4.41235469721071,3.06455820621736,14.0540127565619,0.825642901822925
ARENDALS FOSSEKOMPANI ASA,Yes,NO,Electricity,535.009057734266,465.165935258985,511.898509982266,451.835861874819,547.468103057817,3.20452317617834,0.582555796384811,12.0985256967023,6.47467744345963,5.10318900750577,34.6611610216498,30.7730231285989,39.8757357077003,37.3465406661928,37.0160588007942,890.848790076703,795.178722916931,775.271857710496,819.095758730039,699.922201536365,7.187,9.28,7.516,3.376,3.849,40.161,48.267,57.164,55.182,54.015,-187.276601869248,-151.261160198674,-179.738089586869,-168.436924195752,-277.872661959782,78.1967568459883,74.2470607928634,80.5982967856005,55.2039845253527,52.2817761655003,189.641302018493,224.390979582593,307.07618082127,206.061659462124,133.804098692536
PUBLIC JOIN-STOCK COMPANY OF ENERGY AND ELECTRIFICATION SAMARAENERGO,Yes,RU,Electricity,495.137617670122,581.686835674258,538.791554892624,537.960129731353,688.086113065386,19.8269442916987,15.9518605954368,10.9698541877633,8.53540498893801,6.33699342255294,25.3146386731686,22.5999216974471,17.1105599104203,11.6487427534545,9.13033888261765,128.543048885666,146.236302836828,123.914331687694,115.943568035837,119.289504169114,5.528,3.51,2.933,2.119,1.393,66.433,62.033,59.959,54.552,48.459,-446.998731945889,-527.726786172354,-492.791052085658,-494.705797211364,-638.976885541696,25.6430092499647,29.2061701108357,19.4618573167771,19.6381089072498,23.6210405687299,58.7268884113105,60.9353613576358,40.8215348489825,29.2012943735104,20.9648230354451
LITGRID AB,Yes,LT,Electricity,408.145193170547,448.300297710896,306.468051996231,254.642738220692,218.247383178949,53.4665539951324,-52.7785424774885,22.666729953289,32.6445226627588,5.17887332558632,75.2759487829208,-30.8257918101549,46.8330227136612,57.9068159401417,29.2904043856859,748.546120938301,766.399729290605,554.775945603848,508.45227601707,423.936279393315,11.121,-13.882,8.907,14.881,2.571,35.235,23.239,45.222,52.621,52.135,-277.640214601517,-448.084844614267,-220.245455789566,-157.548506153226,-151.600563457966,85.6585334424973,-39.441782476306,52.181161365509,63.4717112630606,27.319961042285,0.700570314407349,0.532233144640923,2.06019995927811,0.040494276881218,0.0337019956111908
PUBLIC JOINT-STOCK COMPANY TNS ENERGO VORONEZH,Yes,RU,Electricity,384.966406950884,467.159464621025,437.414608864778,405.448352722842,462.808755928839,12.2972333645318,14.5486261966061,14.0000348117417,9.6399495465327,5.04549679468386,12.8736184437303,15.3104815332843,14.556402464156,10.0321759598572,5.38394706231169,138.005932734521,80.8326848807028,82.1092130223652,83.2892030664459,84.7159176521041,4.167,3.884,4.021,3.346,1.445,59.183,40.757,41.232,19.756,7.931,-191.358419128995,-243.418374523968,-237.07794271889,-218.396569769234,-250.676246980041,16.0927449994134,28.3960474916445,21.3134548942223,15.3361664654966,9.67592678778805,19.8316383262929,12.073204136298,6.35576078586467,7.99016479261313,3.96884307247773
TERNA ENERGY S.A.,Yes,GR,Electricity,378.312389781952,637.409453578591,632.561802120209,315.331388272643,361.186533764839,65.9298545885086,45.4744691818953,-25.1448594260216,88.1560407704115,57.9135092582703,125.259541214943,96.627514039278,28.0261946082115,139.744522417784,130.364936023355,2297.11039091492,2170.97366399288,2004.60967098713,2422.90020413041,2379.80800329185,23.68,13.824,0.814,27.789,21.659,24.351,24.131,24.388,25.125,20.698,-109.332064066887,-352.09409046948,-249.209443452358,-93.2975868350267,-93.4118212355375,200.553170005798,175.291359497309,117.435928080082,166.475653556585,213.663911775827,274.069957999229,417.996073050499,450.105555589199,356.971775899529,289.235019934654
VOLGOGRADENERGOSBYT PUBLIC JOINT-STOCK COMPANY,Yes,RU,Electricity,332.443092220685,376.188162408345,352.743485268752,379.716318301588,448.329361764077,19.7212002914837,12.5650896857483,3.82451275423262,1.64275943957269,-61.1637237347979,20.5527914462751,13.4422320309384,4.70496382386237,1.82862570411433,-60.8411524578668,65.0526073394027,85.8693438223051,92.2702248865878,102.045479356273,130.391600164058,7.484,4.164,1.403,0.596,-15.498,-61.595,-88.786,-91.12,-86.35,-82.149,-218.696799947149,-253.766979414918,-250.616760672598,-350.286098848628,-414.45315854957,24.2324908784749,21.1782476328081,13.5496804082366,13.5011787233418,14.5997708063405,11.6031071800748,5.39692195747234,2.67046781749651,2.31288508900814,0.56393839696236
PETROL AD,Yes,BG,Crude_Oil,328.647453905225,448.542298821688,290.898126351356,245.911287821531,310.589893459082,1.49435026556253,6.38326890438795,-14.7003293219805,-5.60198258221149,-2.8609994494915,7.00847449690104,12.1513881014585,-11.4088823879957,-2.05219901740551,-0.627225737571716,185.71581710583,104.785408255756,73.5583956949711,93.9306108498573,80.1550839543343,0.393,1.458,-5.112,-2.364,-0.932,6.975,10.439,2.64,19.238,10.443,-300.251409029067,-419.28887630403,-266.614150520325,-222.21783141911,-285.530731848478,11.2649716238379,13.6554509496689,1.72563544392586,0.265386788249016,1.67547387957573,1.91412427210808,4.784315941751,2.33192413848639,1.73975783407688,2.00229754686356
GOOD ENERGY GROUP PLC,Yes,GB,Electricity,324.594669722557,300.18899345541,199.57414311707,175.331068018794,163.164540539742,3.66272852516174,11.1351401523352,-4.55278220117092,0.0281820176839828,0.333286100387573,5.05599174022675,13.0358495638371,-2.24885140299797,7.67087681341171,5.61468985652924,142.542034137249,140.401482128859,164.7626219666,177.216579201937,152.687022777557,2.23,3.702,-3.31,0.002,0.264,37.53,33.51,23.913,24.711,16.139,-266.635429395676,-262.468057534575,-164.639029177427,-127.986620310545,-117.859937437057,10.4787657527924,4.15863151240349,1.33399608314037,12.8013460327387,11.3737162132263,52.6574535222054,29.5509024504423,11.9213305556774,24.5344593951702,17.9331540708542
ENERGIEKONTOR AG,Yes,DE,Electricity,270.03007618618,201.17132948041,178.03344233036,180.789766884446,72.7075619317293,92.0697463197708,47.5020748090744,41.0057941317558,25.0635031908751,0.274109564304352,115.404041791916,68.6495428627729,63.6963086915016,48.8495960110426,25.6078996652365,797.418082871437,675.784636566639,636.51457719326,550.952860252857,438.012479560256,39.071,33.337,28.578,21.199,1.19,25.67,19.518,14.63,14.6,14.414,-63.8027286338806,-50.8010670262575,-38.8255385398865,-60.1929019349813,2.47934347712994,150.86571770668,107.151651189923,94.5188934588432,79.239937260747,44.8292711621523,146.12084557724,135.468801003695,113.203400731087,97.5016290348768,75.2554327999353
CAPRICORN ENERGY PLC,Yes,GB,Crude_Oil,255.7,290.2,1547.5,396.1,533.4,-144.0,-67.1,894.5,-393.8,93.6,20.1,106.8,980.6,-178.1,308.2,667.6,1463.0,2246.4,1635.3,2089.0,-39.93,-51.172,69.305,-30.169,0.731,60.89,76.664,80.066,68.831,69.674,-59.6,-71.2,-124.1,-115.5,-73.1,76.7,38.3,1298.6,146.8,259.6,189.5,756.8,314.1,569.6,153.7
ENEFIT GREEN AS,Yes,EE,Electricity,253.160033615112,274.132067474723,208.066604683399,199.628195329309,170.21529903388,61.6512926683426,117.546729802489,90.2240730929375,83.2832294523716,41.2310214307308,106.469007781982,157.839658670425,133.428244421482,130.148605896234,87.0679822616577,1438.62556063747,1135.0431774199,926.077437000275,907.372441467643,820.303202976823,28.594,45.046,44.226,42.172,26.121,55.087,67.539,77.491,68.91,63.132,-108.422648658752,-88.1555143040419,-54.0771342802048,-48.0360291755199,-50.9596641638279,117.019552516937,165.154397960901,137.649445767403,135.190756917596,103.03598778224,72.5731175699234,140.210902328491,91.1222251367569,13.2207678520679,12.5000701721907
EVISO S.P.A.,Yes,IT,Electricity,244.592534415722,216.534644828081,90.280319152832,53.7436569507122,48.4685381784439,-1.35281678438187,-1.14568595147133,1.57700589084625,1.29784761440754,1.19034751319885,0.814949870109558,0.799798896312714,2.9424767036438,2.06938946628571,1.91183921813965,66.8954317378998,68.2280393548012,47.2828435411453,15.1161733795404,10.9475555229187,-0.311,1.24,2.315,3.25,3.273,27.305,27.807,49.667,21.802,22.256,-199.324785630703,-170.60645288229,-37.2598837194443,-19.6502415337563,-21.8621090593338,2.20362444877625,5.03769434690475,3.9656885137558,2.65280500304699,2.41028301429749,20.1477339887619,16.5205213582516,8.92131365680695,4.81849722588062,2.85182683372498
MARTIFER SGPS S.A.,Yes,PT,Electricity,243.091269096375,225.376738266945,249.493726129532,287.54740593493,295.216000755787,21.7640897674561,14.2284371733665,12.7598750638962,7.72827138781548,26.45157295537,28.6836028728485,20.3539180344343,19.022022163868,15.0982297801971,36.0319269077778,303.532586221695,262.07522685945,294.414919524193,330.948681056499,323.088674526095,9.824,7.308,6.549,3.455,8.54,20.475,14.277,7.046,2.167,-10.917,-55.8113650474548,-50.8191992175579,-50.0530053877831,-87.0811017841101,-95.1104018143415,22.1143749246597,41.9621570670605,23.4097157549858,26.6906368619204,44.1204058544636,91.6056461114883,60.0826157730818,46.4490712094307,53.7432680171728,39.3234884791374
ALERION CLEAN POWER S.P.A.,Yes,IT,Electricity,222.884125027657,291.976276913285,174.107849664688,134.182081293464,80.6926880918741,73.8361331367493,75.771227645874,55.2006737852097,37.9725878208876,23.6531839197874,130.659678638458,121.61900664866,101.598777980804,89.0714568477869,51.1910845336914,1585.53537656879,1305.81215508699,1142.11641524792,1158.69833028197,989.591697131395,40.891,62.632,44.563,11.194,35.501,22.77,24.913,22.969,21.922,18.256,-7.33388829135895,-7.14408337235451,-4.71388247966766,-4.72678650140762,-0.513393733143806,168.234115501404,248.316093460917,149.34580914259,99.547203567028,60.6838132975101,379.194180177689,241.701043434739,140.048293218613,181.249929121733,267.760108331203
DEUTSCHE ROHSTOFF AG,Yes,DE,Crude_Oil,218.947008260727,188.266542271972,84.7977850198746,49.4643727600575,49.8632259066105,72.0184073209763,64.8129845035076,28.0816920232773,-19.0335372334719,0.346007154941559,142.317433870316,109.789351724386,62.4108073425293,19.5673254287243,18.6540545707941,545.610569863319,373.657532323599,300.128888075352,253.668421376944,313.344304195046,43.271,48.687,36.123,-55.879,0.59,37.97,37.783,30.218,22.053,25.634,-37.8628419923782,-32.5184851980209,-20.5193197703361,-14.2453957670927,-12.7314905420542,157.034935475349,139.92398706615,53.0963024139404,27.0182723748684,26.6751295262575,83.7667725934982,50.6410771030188,14.3840239048004,10.0732581490278,68.8430664349794
