company,quoted,country,industry,operating_revenue_2023,operating_revenue_2022,operating_revenue_2021,operating_revenue_2020,operating_revenue_2019,net_income_2023,net_income_2022,net_income_2021,net_income_2020,net_income_2019,cash_flow_2023,cash_flow_2022,cash_flow_2021,cash_flow_2020,cash_flow_2019,total_assets_2023,total_assets_2022,total_assets_2021,total_assets_2020,total_assets_2019,profit_margin_2023,profit_margin_2022,profit_margin_2021,profit_margin_2020,profit_margin_2019,solvency_ratio_2023,solvency_ratio_2022,solvency_ratio_2021,solvency_ratio_2020,solvency_ratio_2019,cogs_2023,cogs_2022,cogs_2021,cogs_2020,cogs_2019,ebitda_2023,ebitda_2022,ebitda_2021,ebitda_2020,ebitda_2019,cash_2023,cash_2022,cash_2021,cash_2020,cash_2019
TOPLOFIKACIA PLEVEN AD-PLEVEN,Yes,BG,Electricity,207.745195387423,181.79582560426,105.005495835185,87.8292242878675,89.5008623206615,-30.1096041787863,2.96940616697073,-26.4734481845498,-1.63561077296734,5.42734065413475,-26.6581917884946,6.33582384717464,-22.243325057745,4.26312819421291,10.5025848090649,283.589262325108,329.814587891042,209.173653129458,217.951566265225,183.177485733032,-19.595,2.608,-31.725,-1.762,5.848,-6.491,6.526,8.615,22.706,16.333,-115.819207727909,-141.458801445186,-77.4902965890169,-56.067507609129,-55.5290067815781,39.2977396679521,-16.5457820212841,-42.4639505833983,2.45184767961502,13.7334866166115,3.94180786496401,1.26574687117338,0.560541983127594,0.244682854413986,0.24066628575325
AKTSIONERNOE OBSCHESTVO ULYANOVSKENERGO,Yes,RU,Electricity,189.575589111029,215.039145941075,214.417045432329,200.795517761308,237.804297743289,2.79491293525044,0.613669803354889,0.485579984053038,0.362433124543168,0.0671343696191907,3.14993135689199,0.932248085107654,0.666620892868377,0.607330980350263,0.402402377666906,49.4851482254947,62.6986455148291,62.0713629494524,63.6931648277706,78.9792243844569,1.999,0.341,0.337,-1.452,0.349,20.351,14.797,13.691,13.117,12.596,-171.047331440276,-194.931735338864,-195.546565983864,-185.586943999152,-222.427280226506,10.9121363680409,11.030289622006,10.5779847469945,8.31208391746413,7.45370807754435,4.86134738061763,3.29396124245878,4.80601022553351,2.18492690688651,0.96724537633732
AS LATVIJAS GAZE,Yes,LV,Crude_Oil,179.200140422821,792.895127178431,662.360516209602,236.236248729229,356.776065939188,-62.8866832227707,25.6762494808435,3.6696249961853,13.7300140613317,22.6814430463314,-61.5982526445389,40.1958683145046,19.1386799955368,30.3191694903374,37.9866426532269,180.918416193962,450.144448226094,793.274387948513,559.003858756423,520.222880854487,-16.275,5.415,0.627,6.588,7.071,76.4,73.955,52.727,82.502,82.611,-193.240276723862,-613.194445396662,-384.549517192841,-161.11936511457,-277.775218026996,-29.1023980607986,136.535400491953,236.339706158638,31.5659023785591,40.6614577049017,86.552478843689,43.9833630973101,12.4155645704269,66.5529576039314,55.0409758323431
ASTRAKHAN POWER SALE COMPANY PUBLIC JOINT-STOCK COMPANY,Yes,RU,Electricity,160.038894889838,179.75653015112,164.418122916343,153.123995157273,178.937406206047,0.603356266094372,0.0667638169899583,1.18197503976896,1.37428143426217,0.866204596268013,1.41529045416508,0.936683841262013,2.37973900043312,1.4261117399158,0.935503548545763,37.0068990613539,52.8629817978945,48.7315150116635,59.8098038803311,64.8836559551433,1.888,0.727,0.442,1.902,0.55,8.888,6.458,6.351,2.979,1.893,-136.099730999729,-152.231980789303,-147.975704911631,-73.2802282410599,-88.4870567905661,13.8923800468147,14.5275279205386,4.67107081208564,11.2481644731704,13.915730379032,6.83509415477142,1.71675136907399,0.061311623766087,3.22882905932888,5.79327933520637
AKTSIONERNOE OBSCHESTVO KOMI ENERGOSBYTOVAYA KOMPANIYA,Yes,RU,Electricity,158.894743469544,186.273324148729,164.538592517376,166.597641145776,199.516093540968,6.5894879931584,7.23653808515519,2.31516998633742,1.09115720520727,0.130666486008093,7.24732181988657,7.56353292986751,2.92088306415826,1.41447056392673,0.442818689694628,48.8915479695424,51.0964987780899,43.4632784062997,43.0549841493024,53.3819360020645,5.214,4.877,1.783,0.859,0.119,57.058,53.172,43.419,38.848,35.665,-95.3636054238304,-111.320418873802,-100.69643411506,-97.9325300530773,-119.347334064022,13.8925584424287,17.5724186114967,15.3985724672675,8.9966256743744,5.15745740965754,20.1475546592847,10.037320015952,4.79186346009374,1.47546491160896,4.43703907080367
JERSEY ELECTRICITY PLC,Yes,GB,Electricity,157.847151336074,129.938070022225,159.349751174927,143.399334872603,136.595228360653,13.8377401828766,9.21355099177361,21.7042293119431,14.9164977006912,14.4819677199125,28.0447321206331,21.4901705813408,36.3806143941879,29.5121829078197,28.7560485337973,437.023559525609,391.380048963308,450.922661507607,396.805273787856,367.931531368375,11.553,9.028,16.091,13.271,13.346,67.803,67.681,67.169,66.309,66.713,-85.0665263742208,-73.1993719677925,-84.9561708784103,-74.8404217482805,-70.9497098572254,33.8067769467831,24.3507313925028,33.9529113693237,35.2213620432615,33.2090106629133,58.1835265189409,52.4495167375803,57.9531807861328,45.5810390853882,30.6479423886538
PUBLICHN   AKTSIONERNOE  BSCHESTVO RYAZANSKAYA ENERGETICHESKAYA SBYTOVAYA KOMPANIYA,Yes,RU,Electricity,146.585446101613,173.961257386953,155.816324196756,153.640985197448,177.239694950456,10.9490308109671,11.8144659111276,6.8243673434481,4.51834648888931,2.05703197691217,11.2389236837626,12.0703749200329,7.06665257457644,4.7823033863157,2.4127019841969,30.773243419826,35.0453170528635,27.943563323468,23.3123347744206,22.441391480621,9.341,8.516,5.52,3.701,1.48,55.072,51.359,44.605,45.547,41.845,-125.211421595886,-150.773057746701,-138.600612496026,-139.051451272887,-164.180993921796,13.2012754380703,14.7716366806999,9.86639302317053,7.16786460774858,5.04670831482857,14.4500447362661,17.6577216144651,13.0968627715483,9.31403722759243,6.08651567103341
OTKRYTOE AKTSIONERNOE OBSCHESTVO LIPETSKAYA ENERGOSBYTOVAYA KOMPANIYA,Yes,RU,Electricity,146.318053375637,174.286247611095,151.788870640872,148.915831863488,223.518197579216,15.7959169971226,11.0805188735873,7.42859978930093,1.23726750012115,-4.93292234283686,16.2644396281894,11.574906644458,7.83600240544323,1.61329102081899,-4.42589308547229,45.8528462779969,55.9311744258301,38.6783469958743,33.4835415698402,34.6868717273418,12.799,8.613,6.142,1.22,-2.745,73.251,62.167,57.989,45.053,47.642,-94.0457524241023,-116.153871845166,-102.006658803839,-97.7185354586458,-161.740152363038,14.7565061017144,14.4301687598173,9.51276426804811,8.85043416195363,-1.05878783847205,27.9939846997065,33.7010838977527,18.1465446381439,14.2749920565868,10.5124410637096
PNE AG,Yes,DE,Electricity,145.287675203323,140.44448761642,138.412818374634,139.285587279797,154.416926891208,-10.5571747379303,15.8955321735144,28.458847925663,1.9891279643774,0.777392698764801,27.2139522132874,47.0903674066067,54.9786841249466,24.3260165119171,14.9872774482965,1217.37020634079,981.629906625748,936.660454273224,814.559558855891,637.639510164022,-6.541,18.122,2.478,-2.385,5.32,18.893,25.226,26.819,30.214,38.762,-5.19792233276367,-27.3518772768974,-35.9419381570816,-42.36560331285,-63.3417773513794,43.8132696628571,37.8216178536415,37.4029925537109,32.3819234126806,35.5926775649786,99.89535983181,129.679298981428,169.465321004391,136.965142504573,125.747762624621
ZAPTEC AS,Yes,NO,Electricity,140.274339303598,76.8152150191963,55.4390005244911,25.762601922676,17.822209362708,2.18554576977342,-3.7459433042258,0.932086138494313,2.06236805999279,2.9636673919633,5.12733541030437,-1.65943209269643,2.67970513116568,2.62895655669272,3.7826878837049,114.017111599579,62.185092927292,61.5102021476626,42.4225077115297,10.8066057985574,1.682,-4.296,5.222,5.63,10.029,57.334,57.423,72.886,85.158,56.096,-87.6391365969926,-45.7036523278654,-31.0479582074806,-16.0733876326382,-10.1588837103173,4.24041307065636,-0.458417862057686,4.48446697918326,1.97831179015338,2.67425965040922,13.9275322566256,10.4322517980039,8.64603147418797,2.45205152016878,1.71082002592832
GARO AB,Yes,SE,Electricity,138.583497494459,133.486133275926,143.69170532003,127.329651600122,108.427515104413,3.1170332506299,11.5562030747533,18.4441420473158,11.6543563172221,9.21574734151363,7.95689957588911,15.0086786821485,22.4051515571773,14.94399099648,11.6137772798538,119.363452211022,110.623072586954,103.661167871207,90.8990876242518,70.6934924423695,3.435,11.021,16.047,11.823,10.919,50.851,53.238,58.864,57.89,52.175,-75.7648209929466,-69.7591876894236,-71.8403205238283,-64.6676140666008,-55.735377445817,9.92869696766138,18.1063165187836,26.8861818686128,19.9457032039762,14.5064681023359,4.97928634285927,2.82911195605993,9.02844625711441,8.48701288998127,4.38742697238922
CRNOGORSKI ELEKTROPRENOSNI SISTEM A.D.,Yes,ME,Electricity,122.753400090218,128.522038536668,86.5884261059761,62.6753238177299,43.1452947814465,39.4684077129364,21.6253046244383,19.0877129817009,15.2896572709084,4.07681806910038,50.7338877687454,32.0897122037411,29.6208958411217,26.4734402859211,13.3370030632019,389.700524892807,336.940911539793,341.148273410797,345.07013979435,301.57893752718,37.88,20.784,24.484,26.921,10.587,69.511,68.891,65.553,66.881,65.141,-47.697346405983,-75.25925989151,-37.9579667043686,-21.1024266523123,-18.509135989666,58.9153114404678,40.2417320924997,34.2249160909653,29.2503660005331,13.3504838614464,65.3795643415451,41.0203497189283,28.9254792523384,27.4379403352737,19.9942705962658
PUBLICHNOE AKTSIONERNOE OBSCHESTVO KOSTROMSKAYA SBYTOVAYA KOMPANIYA,Yes,RU,Electricity,120.360844850466,140.320297889126,125.231636489339,118.910538316668,139.504686999815,0.939174859776162,0.422107693022117,0.723571382474154,0.474729864084162,0.53620266244933,1.201985048417,0.702086365931667,0.997622899461538,0.696521339178085,0.794159531662241,27.0695720769912,31.4757844593152,27.9799330287185,25.4129714453956,32.8655854169894,1.072,0.309,0.749,0.512,0.634,27.271,26.103,26.373,30.495,26.415,-58.5996031407015,-69.5075738632707,-62.7970745181348,-60.184568529672,-70.2923826428149,3.8939637143733,3.49944195944257,4.1999471801566,3.71825929216202,3.11606211941317,7.4308686072696,3.68843076251913,3.31098920685612,0.0721752911321819,0.250897745169699
PUBLICHNOE AKTSIONERNOE OBSCHESTVO TNS ENERGO MARIY EL,Yes,RU,Electricity,111.698187977511,130.94497182771,120.448926026866,111.368436973373,135.81984040286,0.708620828096755,9.23660916142166,4.50732637671474,3.47522943901364,6.29089104264602,1.13571107780561,9.72946147823892,5.42638155983761,4.29135709335376,7.04003048573062,55.635626911982,42.7833088409686,38.3541424360434,41.2896268830635,43.310601346245,0.736,8.868,4.482,3.811,5.307,69.596,65.259,54.063,36.837,32.694,-51.4352687305156,-63.4991288946848,-60.6214339043461,-55.603197255428,-64.4427272368744,9.1761128993053,12.7354255655091,6.78778227354772,4.94094824979454,9.79163503840938,10.0714024380306,1.31523013410158,3.41990987853892,4.07243530350365,0.99528802928701
RITE GACKO A.D,Yes,BA,Electricity,101.349623575807,86.4293884065151,73.9526591950655,80.3954130855203,64.4807732043266,0.330511853098869,5.87608154714107,0.315247005462647,0.802478524804115,-7.76661737012863,19.0781611204147,25.6606163451672,18.1736421660185,21.1394694961309,10.3690291568637,338.333401978016,323.346452259302,349.108242637634,336.226571461022,305.168680288732,0.385,6.47,0.061,0.613,-12.279,74.726,76.808,73.718,77.627,77.683,-7.51985087990761,-8.6098909945488,-11.3703336290121,-16.8545606907606,-15.5235093060136,20.3956887125969,23.7726354341507,15.9054863215685,21.9783672341108,10.0452294049859,1.6373048722744,0.798383608818054,1.05758416354656,0.182096065878868,0.161899875938892
PUBLICHNOE AKTSIONERNOE OBSCHESTVO MORDOVSKAYA ENERGOSBYTOVAYA KOMPANIYA,Yes,RU,Electricity,85.1774277076246,96.3027541153738,93.5505542699043,94.8472394009437,104.891055703621,1.61083434659149,1.3528345412435,1.65060851793364,0.999611538679339,0.748396377395839,2.41420554518886,2.41272435312625,2.45834709764365,1.63646508278791,1.4684270298034,15.656110584354,20.54465957826,18.9585232093986,18.7589700038061,21.2457987874076,2.565,1.937,2.441,1.574,0.846,26.242,22.005,15.82,14.343,11.778,-39.6636668929914,-47.9610873838151,-48.4679356007772,-50.7191554054683,-55.9272752117049,5.57992491392232,4.95644568447769,4.70931149773207,3.94734680662584,3.3565892521441,0.434504817416891,0.819250040508807,0.815814754080959,0.637855226693675,0.388284129580483
SUNEX SA,Yes,PL,Electricity,82.21677653566,67.1136823674738,32.9509855260998,22.8778199672699,16.7704127916396,6.1921222820878,8.857740226686,1.53275863485038,1.72254147827625,0.915027468651533,8.2345620252192,9.78917738825083,2.42758622932434,2.3233290374279,1.42059660241008,68.361121480912,45.2414931957722,28.7266012506187,20.1176028996706,16.4423194892108,8.156,16.244,6.394,9.488,6.978,36.697,40.262,36.691,42.748,42.056,-54.4175375781953,-48.1028227201402,-25.8401480219811,-17.2892717421055,-12.9623186185062,9.82744647338986,12.6062068524957,3.5524630870074,3.33386541903019,1.90720689365268,0.520203328877687,0.651551653504372,0.202709361478686,0.429704122245312,0.0305448018312454
PUBLICHNOE AKTSIONERNOE OBSCHESTVO MURMANSKAYA TETS,Yes,RU,Electricity,80.3113974421388,118.65130208024,80.9903398250146,77.0630148424544,127.897047878884,-3.51341242047399,0.326738935703412,-19.2760110842111,12.0192434836831,13.2492650706228,-2.02763339931611,2.77111070293095,-17.638674412827,13.5011381145883,14.7983308812585,90.0625351540856,80.8622708055656,72.963955069067,51.2703786248015,63.7034576445688,-5.35,0.242,-29.353,19.476,13.677,3.329,10.269,10.622,53.011,28.404,-77.3833233307423,-109.192791373763,-100.898540378693,-59.5621040205359,-99.319258404471,2.92807411139645,9.45851070647687,-19.908200553678,17.5009108219184,28.5777894744128,0.00354561282880604,0.00500444284081459,1.6106583753787,0.657469254610129,3.92603602736443
PHOTON ENERGY N.V.,Yes,NL,Electricity,79.0970404977798,102.060771832466,41.6536415076256,35.1465781342983,34.1097897580862,-17.3308277778625,6.729176171422,-7.2531723690033,-10.6193173372746,-0.767282100081444,-5.12720230102539,16.2741749918461,4.83167291164398,-0.420895059704781,7.01001508712769,306.553657577515,270.589890574217,222.689607253075,194.990987076759,153.926001155138,-22.774,9.118,-16.116,-22.792,3.254,25.053,27.78,26.212,25.244,27.619,-40.7491032876968,-46.8546489197016,-14.4168693137169,-5.69619494795799,-10.8239575904608,4.33491694545746,28.3907451784611,11.1764998340607,10.603365046382,9.06920701897144,14.3406964359283,22.7804318702221,44.5814133024216,17.5352489888668,16.9678313903809
PUBLIC JOINT STOCK COMPANY TAMBOV POWER SUPPLY COMPANY,Yes,RU,Electricity,69.174170408098,98.9425834967364,101.505895611969,93.9205070384564,108.109257048035,3.53310283637233,3.71112136130873,3.29261591016222,1.16737983543333,0.338967182889581,3.95480776848271,4.11160474307835,3.53335320786946,1.37226453284081,0.569850615268573,21.7645659540119,23.6261736918259,16.974543673723,16.103333499427,17.6276342592184,6.414,4.711,4.078,1.613,0.418,57.682,50.934,43.104,24.515,19.898,-58.3423232160956,-52.6156599579547,-53.7075556282867,-49.5001347718975,-32.2304580963235,4.40632706758753,4.57848229549173,4.36348971116822,3.23119790328015,3.10457690844126,12.4316656094277,11.4220152288042,8.06158341591433,6.00408541512117,3.90857398367859
CLEARVISE AG,Yes,DE,Electricity,56.8003404912949,69.9891918200254,37.4800093746185,45.8726531106234,38.9258049309254,7.55488839054108,22.7367012912035,-3.71153120756149,2.90331694245338,-0.45048334133625,27.8946325187683,41.6613760113716,17.7285926127434,25.6635547482967,21.1772106422186,401.210210058212,481.40434602797,261.532134797573,230.583002256751,228.133301891565,16.283,40.138,-5.473,10.692,2.82,43.823,34.552,24.337,20.625,18.402,-0.520455233573914,-0.301847655177116,-0.400940508842468,-0.488385521173477,-0.310058359622955,37.3280217523575,51.3791639488935,24.731460313797,33.963654409647,29.244344991684,48.340456694603,77.0692792230845,26.2740619325638,21.2521327668428,16.489263052702
ARISE AB,Yes,SE,Electricity,50.489963516593,112.109555140138,30.7586771994829,15.8978627622128,52.8641936182976,20.5146597325802,74.0364213585854,6.30663525313139,-13.2074552178383,-25.2707190811634,26.88814625144,79.8864494711161,13.2771268486977,-4.6470675766468,-17.0980609953403,379.122862145305,279.650524199009,167.181155569851,173.408995360136,193.025279790163,39.448,66.039,20.863,-83.077,-47.396,57.946,55.418,44.739,49.577,38.886,-4.87970061600208,-16.9746717363596,-1.99156902730465,-0.978330016136169,-14.4096866250038,28.481517881155,81.6126872748137,15.821909494698,4.0356113165617,-6.02195858955383,91.320111528039,117.000562250614,7.7449906617403,10.5170476734638,39.2502658069134
SOCIETE ELECTRIQUE DE L'OUR SA,Yes,LU,Electricity,37.5821718664169,30.2519612854719,21.3370571923256,42.9374315863848,37.2912581437826,5.08742228317261,7.5387251830101,6.62231399774551,5.76368540942669,4.15545605885983,7.21896823978424,9.17488879799843,8.15698741436005,7.43131335735321,5.79224964570999,363.868928299904,356.422351192832,380.405332667828,412.528696681261,371.138733068824,15.616,26.291,32.953,14.115,13.074,12.449,11.833,7.33,5.12,4.055,-16.0368721971512,-11.6024692332745,-13.8437735581398,-17.8052108347416,-15.9006015293598,-1.97905588817596,-0.674090876579285,-12.3510063529015,1.47742755651474,0.0797613896131515,7.2255982427597,7.67524991750717,10.1673529601097,6.88648126840591,4.92947855806351
ELEKTRO DOBOJ AD,Yes,BA,Electricity,31.2675512582064,22.311113527298,26.1631834607124,36.719985643208,39.4475054610968,2.53053434193134,0.0365380476713181,0.0463598537445068,0.0144421017765999,0.2402754342556,10.5142317712307,7.53992607617378,7.97679233491421,7.79810704189539,6.96627134031057,187.805309593678,176.519125708103,249.547559230447,265.010055930734,240.797747282922,11.463,0.958,0.755,0.135,1.006,76.529,89.566,67.308,65.699,65.874,-6.73114225268364,-0.651686074137688,-10.4054691729546,-20.2754550594091,-23.9285728300214,15.8967726677656,8.71023428964615,8.71912949299812,8.46746706336737,8.00174404507875,0.901704132556915,4.69922920572758,3.9150896487236,2.83127986568212,6.85414280432463
HIDROELEKTRANE NA VRBASU A.D.,Yes,BA,Electricity,15.2080650627613,12.5914475027323,11.5134696774483,8.77954204523563,11.8215513653755,4.22038212418556,2.96885270929337,1.34675375127792,-0.807501864552498,2.33925297778845,7.63510629534721,6.25291424775124,4.83185575652123,2.95058418470621,5.80093548417091,163.443478643894,154.730451728106,173.250829930425,174.103304421723,159.853530157149,29.412,25.523,13.524,-5.807,22.179,82.373,91.596,85.106,90.017,89.852,-1.39831937849522,-1.32900331604481,-0.900540158987045,-0.892898640275002,-0.882726178705692,8.33793833851814,6.93895699357986,5.67966158187389,3.91004207664728,7.83526749420166,0.491530448198318,0.343021372914314,0.359868364691734,0.134374338269234,0.15503486353159
ELEKTROHERCEGOVINA A.D.,Yes,BA,Electricity,11.8340192735195,9.11597022199631,10.6523353941441,14.4000313062072,16.5761445418,0.119775235652924,0.109614143013954,0.0608473080396652,-1.80212313473225,0.117849379658699,2.8356222063303,2.57838640880585,2.50575009489059,0.731523850858211,3.13788275450468,33.2387578487396,31.6097739876509,34.267465393424,38.8134624833465,35.9749533517361,0.835,0.03,1.757,-13.784,1.16,74.701,75.412,73.58,75.764,79.505,-3.34975175559521,-0.647323322176933,-2.19166208577156,-5.90493587422371,-7.4599801492691,1.8904148042202,2.34934193086624,2.92588626945019,0.580195740938187,2.51945955348015,0.237855538725853,0.207776062130928,0.198767872929573,0.196538167655468,0.160183622837067
PUBLIC JOINT STOCK COMPANY SARATOVNEFTEGAZ,Yes,RU,Crude_Oil,10.2188352632988,19.8149776908681,11.0142731468035,18.6450759866294,80.310151954636,1.02789322857745,5.55987912747636,2.37739690986555,0.288741773282178,1.23277828485519,10.6035342552243,18.1095005353531,9.45974418330286,10.2036802619286,15.6509018374979,270.704529053355,346.166282331624,337.665213877036,329.360922573276,410.567328837408,17.623,37.532,35.119,8.797,3.378,81.056,80.606,76.607,74.73,71.457,-0.457763145595789,-1.56748533104639,-1.35589545484725,-6.77700535579026,-56.5751638778951,9.5603101535663,18.0130086218286,9.04332317244634,10.466919738044,17.886108043693,0.214007838478312,0.0118713345797732,0.00790119059290737,0.00537389170657843,0.000775372892618179
G-ENERGY SA,Yes,PL,Electricity,5.56340560615063,4.60607035383582,5.63694586488604,3.47674536556005,3.36703776738048,0.261245247721672,0.161752014398575,0.087684729874134,0.122924646735191,0.474761014670134,0.520965717732906,0.418010823726654,0.364778328493237,0.371168576180935,0.652763480514288,9.54434607848525,6.62819771361351,6.75369464367628,6.32316932827234,5.57863941031694,3.746,3.517,1.516,4.041,18.652,39.508,47.327,47.783,53.823,58.642,-4.42261774912477,-3.59125820732117,-4.70418723557889,-2.77272238880396,-2.11101445069909,0.693773858249187,0.574764882624149,0.437931038528681,0.390325663983822,1.01324480557442,0.0396442204713821,0.0304420925974846,0.056157635986805,0.0478927195072174,0.112173151552677
CONECT BUSINESS PARK SA,Yes,RO,Electricity,3.97259670764208,4.06097615583241,3.52529344081879,3.74104872089624,4.14100647372007,0.0963121150285006,-0.165494326099753,0.319170843064785,0.0436207743287087,0.693062350764871,0.592108199089766,0.954343421563506,0.831445766091347,0.615985847890377,1.23450997799635,32.2972557190955,32.1054677266479,35.7807674798369,39.4853736364245,37.5469403573871,3.544,0.542,11.617,2.521,19.174,56.132,54.485,52.331,51.369,50.176,-0.546954944238067,-0.56229232570529,-0.374310752153397,-0.383005527198315,-0.428792724296451,1.89487969498336,2.023044069767,1.79284783244133,1.77937459212542,2.15874957749248,0.298055967986584,0.454408149629831,0.835335303246975,0.501008546769619,0.743991754800081
PUBLIC COMPANY RAD AD,Yes,BA,Electricity,0.458196774125099,0.464087739825249,0.453747068524361,0.528706508517265,0.419909925580025,-0.103955864906311,-0.0370833916664124,-0.0498368427753449,0.000627917468547821,0.00114416873455048,-0.042373314499855,0.0212684158086777,0.0133284579515457,0.0646754992604256,0.0600688585639,1.38871476054192,1.41462232327461,4.53341419804096,4.94296631240845,4.48456935507059,-22.688,-7.991,-10.983,0.119,0.272,92.474,94.68,32.264,33.155,33.282,-0.042373314499855,-0.0654412794113159,-0.0961966965198517,-0.111141391932964,-0.0749430521130562,-0.0316387414932251,0.0136335998773575,0.0266569159030914,0.0734663438200951,0.0606409429311752,0.0214691460132599,0.0283578877449036,0.0307134031057358,0.0339075433015823,0.0354692307710648
